seed,video_id,entry_time_s,first_pre_entry_alarm_s,lead_s,hit_pre_entry,hit_02,hit_03,hit_05
111,captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191426_77046a04,1.8,0.9666666666666668,0.8333333333333333,1,1,1,1
111,captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191505_b840699c,1.833,0.9666666666666668,0.8663333333333332,1,1,1,1
111,captures_ilyas_unsafe_unsafe_blooza_good_20260512_190737_7b320cb4,1.5,0.9666666666666668,0.5333333333333332,1,1,1,1
111,captures_ilyas_unsafe_unsafe_blooza_good_20260512_190814_ff020958,1.9,0.9666666666666668,0.9333333333333331,1,1,1,1
111,captures_ilyas_unsafe_unsafe_blooza_good_20260512_190826_18fb6e07,2.133,0.9666666666666668,1.1663333333333332,1,1,1,1
111,captures_ilyas_unsafe_unsafe_blooza_good_20260512_190855_2dd5390e,2.633,0.9666666666666668,1.6663333333333332,1,1,1,1
111,captures_zaayd_unsafe_blooza_bad_5_ea4e3014,8.633,0.9666666666666668,7.666333333333332,1,1,1,1
111,captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185727_82e40518,1.267,0.9666666666666668,0.3003333333333331,1,1,1,0
222,captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191355_46d6619f,1.367,0.9666666666666668,0.4003333333333332,1,1,1,0
222,captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191410_c1410206,2.133,0.9666666666666668,1.1663333333333332,1,1,1,1
222,captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191505_b840699c,1.833,0.9666666666666668,0.8663333333333332,1,1,1,1
222,captures_ilyas_unsafe_unsafe_blooza_good_20260512_190742_244e888a,1.6,0.9666666666666668,0.6333333333333333,1,1,1,1
222,captures_ilyas_unsafe_unsafe_blooza_good_20260512_190842_d8ac1c1c,2.533,0.9666666666666668,1.5663333333333331,1,1,1,1
222,captures_ilyas_unsafe_unsafe_blooza_good_20260512_190901_c8f1dab5,2.467,0.9666666666666668,1.5003333333333333,1,1,1,1
222,captures_zaayd_unsafe_blooza_godo_4_d437650f,5.9,0.9666666666666668,4.933333333333334,1,1,1,1
222,captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185746_75364c1d,1.333,0.9666666666666668,0.3663333333333332,1,1,1,0
222,captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185758_7e2820d3,1.1,0.9666666666666668,0.1333333333333333,1,0,0,0
222,captures_zaayd_unsafe_unsafe_distracted_0755b3f7,4.5,0.9666666666666668,3.533333333333333,1,1,1,1
333,captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191406_331fb084,1.267,0.9666666666666668,0.3003333333333331,1,1,1,0
333,captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191449_9b22a9b0,2.1,0.9666666666666668,1.1333333333333333,1,1,1,1
333,captures_ilyas_unsafe_unsafe_blooza_good_20260512_190809_a6db35e7,2.3,0.9666666666666668,1.333333333333333,1,1,1,1
333,captures_ilyas_unsafe_unsafe_blooza_good_20260512_190826_18fb6e07,2.133,0.9666666666666668,1.1663333333333332,1,1,1,1
333,captures_ilyas_unsafe_unsafe_blooza_good_20260512_190832_367f080a,1.733,0.9666666666666668,0.7663333333333333,1,1,1,1
333,captures_zaayd_unsafe_blooza_bad_1_7f6ab029,2.133,0.9666666666666668,1.1663333333333332,1,1,1,1
333,captures_zaayd_unsafe_unsafe_blooza_bad_20260512_185746_75364c1d,1.333,0.9666666666666668,0.3663333333333332,1,1,1,0
333,captures_zaayd_unsafe_unsafe_distracted_0755b3f7,4.5,0.9666666666666668,3.533333333333333,1,1,1,1
