video_id,event_time_s,frame,body_part,event_type,zone_id,spatial_relation,notes
captures_ilyas_safe_safe_blooza_good_d9613235,,,none,no_danger_event,machine_danger_volume,outside_volume,
captures_ilyas_safe_safe_bloza_bad_53db6df4,,,none,no_danger_event,machine_danger_volume,outside_volume,
captures_ilyas_safe_safe_distracted_bloza_bad_2_59414d66,,,none,no_danger_event,machine_danger_volume,outside_volume,
captures_ilyas_safe_safe_distracted_bloza_bad_3a96ef19,,,none,no_danger_event,machine_danger_volume,outside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191341_97d66667,2.000,60,hand_or_arm,near_miss,machine_danger_volume,near_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191350_263856be,1.833,55,hand_or_arm,near_miss,machine_danger_volume,near_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191355_46d6619f,0.867,26,hand_or_arm,near_miss,machine_danger_volume,near_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191358_4aafa58a,0.833,25,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191402_e57c05ae,1.267,38,hand_or_arm,near_miss,machine_danger_volume,near_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191406_331fb084,0.733,22,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191410_c1410206,1.433,43,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191415_93fd7cb7,2.900,87,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191422_1ca22516,1.433,43,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191426_77046a04,1.333,40,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191432_94f35294,2.267,68,hand_or_arm,near_miss,machine_danger_volume,near_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191437_b4f77bb8,3.600,108,hand_or_arm,entered_danger_volume,machine_danger_volume,outside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191443_d5f47cf0,2.300,69,hand_or_arm,near_miss,machine_danger_volume,near_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191449_9b22a9b0,1.733,52,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191452_905ecd36,3.033,91,hand_or_arm,near_miss,machine_danger_volume,near_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191500_04cdc6f3,2.233,67,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191505_b840699c,1.267,38,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191509_7b90305f,1.000,30,head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190737_7b320cb4,1.300,39,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190733_1fc29c35,1.400,42,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190728_e80f86ad,1.567,47,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190742_244e888a,1.167,35,head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190747_0c868d1b,1.467,44,head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190752_e66b89bf,1.300,39,head,near_miss,machine_danger_volume,near_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190758_3ce5e767,1.567,47,head,near_miss,machine_danger_volume,near_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190804_f59e5432,2.333,70,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190809_a6db35e7,2.000,60,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190814_ff020958,1.667,50,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190820_4a2b451c,2.100,63,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190826_18fb6e07,1.833,55,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190832_367f080a,1.433,43,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190837_300e4d2f,2.267,68,hand_or_arm|head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190842_d8ac1c1c,2.300,69,hand_or_arm|head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190850_aa5bffa1,2.538,76,hand_or_arm|head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190855_2dd5390e,2.268,68,hand_or_arm|head,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190901_c8f1dab5,2.100,63,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190907_1cfbe666,2.133,64,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190912_fdc9750f,2.267,68,hand_or_arm,entered_danger_volume,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190918_1ece8104,1.300,39,hand_or_arm|head,entered_danger_volume,machine_danger_volume,near_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190923_aceb388e,1.567,47,head,near_miss,machine_danger_volume,inside_volume,
captures_ilyas_unsafe_unsafe_blooza_good_20260512_190928_3e320cfc,1.233,37,head,near_miss,machine_danger_volume,inside_volume,
