video_id,path,actor,coarse_label,fps,frames,duration_s,width,height
captures_ilyas_safe_safe_blooza_good_d9613235,captures\ilyas\safe\safe blooza good.mp4,ilyas,safe,30.000,2071,69.030,1440,720
captures_ilyas_safe_safe_bloza_bad_53db6df4,captures\ilyas\safe\safe bloza bad.mp4,ilyas,safe,30.000,2054,68.470,1440,720
captures_ilyas_safe_safe_distracted_bloza_bad_2_59414d66,captures\ilyas\safe\safe distracted bloza bad (2).mp4,ilyas,safe,30.000,1204,40.130,1440,720
captures_ilyas_safe_safe_distracted_bloza_bad_3a96ef19,captures\ilyas\safe\safe distracted bloza bad.mp4,ilyas,safe,30.000,240,8.000,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191341_97d66667,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191341.mp4,ilyas,unsafe,30.000,204,6.800,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191350_263856be,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191350.mp4,ilyas,unsafe,30.000,107,3.570,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191355_46d6619f,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191355.mp4,ilyas,unsafe,30.000,67,2.230,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191358_4aafa58a,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191358.mp4,ilyas,unsafe,30.000,92,3.070,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191402_e57c05ae,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191402.mp4,ilyas,unsafe,30.000,107,3.570,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191406_331fb084,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191406.mp4,ilyas,unsafe,30.000,81,2.700,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191410_c1410206,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191410.mp4,ilyas,unsafe,30.000,88,2.930,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191415_93fd7cb7,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191415.mp4,ilyas,unsafe,30.000,148,4.930,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191422_1ca22516,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191422.mp4,ilyas,unsafe,30.000,91,3.030,1440,720
captures_ilyas_unsafe_unsafe_blooza_good_distracted20260512_191426_77046a04,captures\ilyas\unsafe\unsafe blooza good   distracted20260512_191426.mp4,ilyas,unsafe,30.000,147,4.900,1440,720
