"person","zone","name","mb","duration_s","resolution","fps","frames"
"ilyas","safe","safe blooza good.mp4","95.88","69.03","1440x720","30/1","2071"
"ilyas","safe","safe bloza bad.mp4","95.74","68.47","1440x720","30/1","2054"
"ilyas","safe","safe distracted bloza bad (2).mp4","56.24","40.13","1440x720","30/1","1204"
"ilyas","safe","safe distracted bloza bad.mp4","11.17","8","1440x720","30/1","240"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191341.mp4","9.4","6.8","1440x720","30/1","204"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191350.mp4","4.73","3.57","1440x720","30/1","107"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191355.mp4","3.26","2.23","1440x720","30/1","67"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191358.mp4","4.35","3.07","1440x720","30/1","92"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191402.mp4","5.17","3.57","1440x720","30/1","107"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191406.mp4","3.84","2.7","1440x720","30/1","81"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191410.mp4","3.95","2.93","1440x720","30/1","88"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191415.mp4","7.03","4.93","1440x720","30/1","148"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191422.mp4","4.22","3.03","1440x720","30/1","91"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191426.mp4","6.71","4.9","1440x720","30/1","147"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191432.mp4","5.25","3.63","1440x720","30/1","109"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191437.mp4","6.41","4.6","1440x720","30/1","138"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191443.mp4","5.11","3.67","1440x720","30/1","110"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191449.mp4","4.06","2.93","1440x720","30/1","88"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191452.mp4","6.83","4.93","1440x720","30/1","148"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191500.mp4","6.22","4.47","1440x720","30/1","134"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191505.mp4","4.57","3.17","1440x720","30/1","95"
"ilyas","unsafe","unsafe blooza good   distracted20260512_191509.mp4","4.76","3.4","1440x720","30/1","102"
"ilyas","unsafe","unsafe blooza good  20260512_190728.mp4","4.17","3","1440x720","30/1","90"
"ilyas","unsafe","unsafe blooza good  20260512_190733.mp4","3.94","2.7","1440x720","30/1","81"
"ilyas","unsafe","unsafe blooza good  20260512_190737.mp4","3.2","2.33","1440x720","30/1","70"
"ilyas","unsafe","unsafe blooza good  20260512_190742.mp4","4","2.87","1440x720","30/1","86"
"ilyas","unsafe","unsafe blooza good  20260512_190747.mp4","4.76","3.33","1440x720","30/1","100"
"ilyas","unsafe","unsafe blooza good  20260512_190752.mp4","4.95","3.57","1440x720","30/1","107"
"ilyas","unsafe","unsafe blooza good  20260512_190758.mp4","5.92","4.07","1440x720","30/1","122"
"ilyas","unsafe","unsafe blooza good  20260512_190804.mp4","4.32","3.1","1440x720","30/1","93"
"ilyas","unsafe","unsafe blooza good  20260512_190809.mp4","4.17","3.03","1440x720","30/1","91"
"ilyas","unsafe","unsafe blooza good  20260512_190814.mp4","5.18","3.67","1440x720","30/1","110"
"ilyas","unsafe","unsafe blooza good  20260512_190820.mp4","4.51","3.23","1440x720","30/1","97"
"ilyas","unsafe","unsafe blooza good  20260512_190826.mp4","6.47","4.73","1440x720","30/1","142"
"ilyas","unsafe","unsafe blooza good  20260512_190832.mp4","3.81","2.6","1440x720","30/1","78"
"ilyas","unsafe","unsafe blooza good  20260512_190837.mp4","5.57","4.1","1440x720","30/1","123"
"ilyas","unsafe","unsafe blooza good  20260512_190842.mp4","5.81","4.03","1440x720","30/1","121"
"ilyas","unsafe","unsafe blooza good  20260512_190850.mp4","4.76","3.5","1440x720","30/1","105"
"ilyas","unsafe","unsafe blooza good  20260512_190855.mp4","5.23","3.73","1440x720","30/1","112"
"ilyas","unsafe","unsafe blooza good  20260512_190901.mp4","5.07","3.7","1440x720","30/1","111"
"ilyas","unsafe","unsafe blooza good  20260512_190907.mp4","4.52","3.3","1440x720","30/1","99"
"ilyas","unsafe","unsafe blooza good  20260512_190912.mp4","5.4","3.8","1440x720","30/1","114"
"ilyas","unsafe","unsafe blooza good  20260512_190918.mp4","4.62","3.33","1440x720","30/1","100"
"ilyas","unsafe","unsafe blooza good  20260512_190923.mp4","3.77","2.7","1440x720","30/1","81"
"ilyas","unsafe","unsafe blooza good  20260512_190928.mp4","3.12","2.3","1440x720","30/1","69"
"ilyas","unsafe","unsafe blooza good  20260512_190932.mp4","6.44","4.6","1440x720","30/1","138"
"zaayd","safe","blooza bad 1.mp4","98.26","71.47","1440x720","30/1","2144"
